Calculation of Software Quality Metrics for system: smallsql
Duplication calculation
Source: CommandCreateDatabase.java, LOC duplicated: 0
Source: ExpressionFunctionOctetLen.java, LOC duplicated: 6
Source: ExpressionFunctionACos.java, LOC duplicated: 0
Source: ExpressionFunctionLength.java, LOC duplicated: 0
Source: Column.java, LOC duplicated: 0
Source: LongLongList.java, LOC duplicated: 0
Source: Store.java, LOC duplicated: 0
Source: ExpressionFunctionAscii.java, LOC duplicated: 0
Source: ExpressionFunctionRand.java, LOC duplicated: 0
Source: ExpressionFunctionSubstring.java, LOC duplicated: 6
Source: StoreImpl.java, LOC duplicated: 186
Source: Money.java, LOC duplicated: 0
Source: TestFunctions.java, LOC duplicated: 12
Source: Lobs.java, LOC duplicated: 0
Source: ExpressionFunctionHour.java, LOC duplicated: 0
Source: ExpressionFunctionDayOfYear.java, LOC duplicated: 0
Source: TestAlterTable2.java, LOC duplicated: 6
Source: TestAlterTable.java, LOC duplicated: 6
Source: TestIdentifer.java, LOC duplicated: 0
Source: TestLanguage.java, LOC duplicated: 24
Source: ExpressionFunctionLTrim.java, LOC duplicated: 6
Source: ExpressionFunctionRound.java, LOC duplicated: 24
Source: UnionAll.java, LOC duplicated: 0
Source: ExpressionFunctionReturnString.java, LOC duplicated: 24
Source: Columns.java, LOC duplicated: 0
Source: Language_de.java, LOC duplicated: 6
Source: TestTransactions.java, LOC duplicated: 126
Source: ExpressionFunctionFloor.java, LOC duplicated: 6
Source: ExpressionFunctionSqrt.java, LOC duplicated: 0
Source: ExpressionFunctionReturnFloat.java, LOC duplicated: 0
Source: GroupResult.java, LOC duplicated: 0
Source: TestTokenizer.java, LOC duplicated: 0
Source: ExpressionFunctionATan.java, LOC duplicated: 0
Source: ExpressionFunction.java, LOC duplicated: 0
Source: Logger.java, LOC duplicated: 0
Source: Expressions.java, LOC duplicated: 0
Source: TestGroupBy.java, LOC duplicated: 0
Source: TestDeleteUpdate.java, LOC duplicated: 0
Source: JoinScrollIndex.java, LOC duplicated: 0
